mac1;mac2;similaridade
10:9a:dd:02:39:40;58:1f:aa:06:88:92;1.200000
b0:79:94:12:36:09;6c:c2:6b:08:71:38;0.500000
b0:79:94:12:36:09;7c:c5:37:09:91:54;0.710310
b0:79:94:12:36:09;20:64:32:03:94:28;0.500000
6c:c2:6b:08:71:38;7c:c5:37:09:91:54;0.500000
6c:c2:6b:08:71:38;20:64:32:03:94:28;0.500000
7c:c5:37:09:91:54;20:64:32:03:94:28;0.500000
48:60:bc:06:03:05;e4:ce:8f:15:03:59;0.630930
48:60:bc:06:03:05;3c:d0:f8:05:30:33;0.754906
e4:ce:8f:15:03:59;3c:d0:f8:05:30:33;0.870742
58:55:ca:07:03:40;28:e0:2c:04:37:09;0.630930
58:55:ca:07:03:40;e0:f8:47:14:85:06;0.630930
28:e0:2c:04:37:09;e0:f8:47:14:85:06;0.630930
28:cf:da:04:21:41;70:73:cb:08:88:82;1.251291
28:cf:da:04:21:41;00:15:00:00:15:62;0.430677
28:cf:da:04:21:41;b8:ff:61:12:75:72;1.204393
28:cf:da:04:21:41;04:1e:64:01:50:64;0.430677
70:73:cb:08:88:82;00:15:00:00:15:62;0.430677
70:73:cb:08:88:82;b8:ff:61:12:75:72;0.839136
70:73:cb:08:88:82;04:1e:64:01:50:64;0.552130
00:15:00:00:15:62;b8:ff:61:12:75:72;0.430677
00:15:00:00:15:62;04:1e:64:01:50:64;0.430677
b8:ff:61:12:75:72;04:1e:64:01:50:64;0.430677
14:8f:c6:02:76:32;80:96:b1:10:00:99;0.500000
14:8f:c6:02:76:32;34:15:9e:04:65:76;0.500000
14:8f:c6:02:76:32;28:cf:da:04:19:88;0.500000
80:96:b1:10:00:99;34:15:9e:04:65:76;0.618855
80:96:b1:10:00:99;28:cf:da:04:19:88;0.626861
34:15:9e:04:65:76;28:cf:da:04:19:88;0.500000
f8:1e:df:16:15:75;40:a6:d9:05:58:62;5.164851
6c:3e:6d:08:57:62;d8:30:62:13:99:07;1.000000
18:e7:f4:03:43:20;c8:bc:c8:13:41:30;8.994435
00:26:b0:00:91:95;18:20:32:03:00:90;2.430677
d8:9e:3f:14:29:64;60:33:4b:07:72:45;1.145293
f8:1e:df:16:08:55;20:64:32:03:82:53;1.121453
20:02:af:03:67:77;40:a6:d9:05:55:72;3.141894
e8:99:c4:15:27:71;04:46:65:01:56:56;0.789065
e8:99:c4:15:27:71;70:aa:b2:08:91:19;0.789065
e8:99:c4:15:27:71;30:69:4b:04:52:28;0.789065
50:ea:d6:06:59:88;04:46:65:01:56:56;0.551714
50:ea:d6:06:59:88;dc:2b:61:14:50:08;0.578130
50:ea:d6:06:59:88;00:25:00:00:72:27;0.962232
50:ea:d6:06:59:88;90:84:0d:10:92:18;0.410518
e0:f8:47:14:88:42;04:46:65:01:56:56;0.528877
e0:f8:47:14:88:42;70:aa:b2:08:91:19;0.528877
e0:f8:47:14:88:42;f8:1e:df:16:12:56;0.528877
e0:f8:47:14:88:42;00:25:00:00:72:27;0.528877
e0:f8:47:14:88:42;30:69:4b:04:52:28;0.528877
04:46:65:01:56:56;70:aa:b2:08:91:19;1.659807
04:46:65:01:56:56;dc:2b:61:14:50:08;0.545023
04:46:65:01:56:56;f8:1e:df:16:12:56;0.528877
04:46:65:01:56:56;00:25:00:00:72:27;0.791527
04:46:65:01:56:56;30:69:4b:04:52:28;1.659807
70:aa:b2:08:91:19;f8:1e:df:16:12:56;0.528877
70:aa:b2:08:91:19;00:25:00:00:72:27;0.807820
70:aa:b2:08:91:19;30:69:4b:04:52:28;2.903013
dc:2b:61:14:50:08;00:25:00:00:72:27;0.578130
f8:1e:df:16:12:56;00:25:00:00:72:27;0.528877
f8:1e:df:16:12:56;30:69:4b:04:52:28;0.528877
00:25:00:00:72:27;30:69:4b:04:52:28;0.807820
00:25:00:00:72:27;90:84:0d:10:92:18;0.410518
7c:c5:37:09:83:42;d8:9e:3f:14:20:87;1.000000
18:9e:fc:03:37:77;e0:f8:47:14:87:75;0.630930
18:9e:fc:03:37:77;38:ec:e4:05:19:14;0.630930
e0:f8:47:14:87:75;38:ec:e4:05:19:14;0.630930
fc:25:3f:16:28:41;48:60:bc:06:11:36;10.675918
58:55:ca:07:03:52;e0:f8:47:14:81:80;5.000000
e0:b9:ba:14:58:60;b8:ff:61:12:76:47;1.000000
00:26:bb:00:93:76;d8:30:62:13:99:44;0.731707
00:26:bb:00:93:76;6c:3e:6d:08:45:78;0.430677
00:26:bb:00:93:76;e8:06:88:15:15:96;0.430677
00:26:bb:00:93:76;d8:9e:3f:14:08:49;0.430677
d8:30:62:13:99:44;6c:3e:6d:08:45:78;0.549531
d8:30:62:13:99:44;e8:06:88:15:15:96;0.680677
d8:30:62:13:99:44;d8:9e:3f:14:08:49;0.430677
6c:3e:6d:08:45:78;e8:06:88:15:15:96;0.430677
6c:3e:6d:08:45:78;d8:9e:3f:14:08:49;0.430677
e8:06:88:15:15:96;d8:9e:3f:14:08:49;0.430677
00:26:bb:00:93:76;64:b9:e8:08:10:16;0.590095
00:26:bb:00:93:76;8c:7b:9d:10:65:14;0.923428
00:26:bb:00:93:76;e8:06:88:15:12:87;0.622398
00:26:bb:00:93:76;f8:1e:df:16:15:25;0.453916
00:26:bb:00:93:76;7c:c5:37:09:88:60;0.453916
00:c6:10:01:32:15;e8:06:88:15:12:87;1.289065
98:d6:bb:11:49:53;64:b9:e8:08:10:16;0.410518
98:d6:bb:11:49:53;f8:1e:df:16:15:25;0.410518
64:b9:e8:08:10:16;8c:7b:9d:10:65:14;0.590095
64:b9:e8:08:10:16;8c:7b:9d:10:66:31;0.437106
64:b9:e8:08:10:16;f8:1e:df:16:15:25;0.410518
64:b9:e8:08:10:16;a4:d1:d2:11:95:13;0.437106
8c:7b:9d:10:65:14;e8:06:88:15:12:87;0.622398
8c:7b:9d:10:65:14;7c:c5:37:09:88:60;0.431467
8c:7b:9d:10:66:31;7c:c5:37:09:88:60;0.415926
8c:7b:9d:10:66:31;a4:d1:d2:11:95:13;0.437106
f8:1e:df:16:15:25;7c:c5:37:09:88:60;0.453916
cc:08:e0:13:58:01;70:73:cb:08:85:65;1.000000
30:69:4b:04:52:28;70:aa:b2:08:91:19;2.903013
30:69:4b:04:52:28;14:5a:05:02:53:37;0.630930
70:aa:b2:08:91:19;14:5a:05:02:53:37;0.630930
24:ab:81:04:06:54;7c:c5:37:09:91:29;1.000000
a8:6a:6f:12:09:06;04:18:0f:01:48:22;1.000000
98:52:b1:11:39:08;b8:c7:5d:12:68:68;0.379316
98:52:b1:11:39:08;70:56:81:08:83:79;0.379316
98:52:b1:11:39:08;e4:ce:8f:15:03:64;0.379316
98:52:b1:11:39:08;00:c6:10:01:31:49;0.379316
98:52:b1:11:39:08;58:b0:35:07:05:88;0.379316
98:52:b1:11:39:08;7c:11:be:09:63:87;0.379316
98:52:b1:11:39:08;e4:ce:8f:15:09:15;0.379316
98:52:b1:11:39:08;b0:79:94:12:36:09;0.941505
98:52:b1:11:39:08;d8:9e:3f:14:09:86;0.379316
98:52:b1:11:39:08;70:73:cb:08:89:57;0.379316
98:52:b1:11:39:08;f0:b4:79:15:53:89;0.379316
98:52:b1:11:39:08;28:37:37:04:09:26;0.379316
98:52:b1:11:39:08;70:56:81:08:81:99;0.379316
98:52:b1:11:39:08;d4:9a:20:13:94:84;0.379316
98:52:b1:11:39:08;04:0c:ce:01:46:35;0.379316
98:52:b1:11:39:08;58:1f:aa:06:89:86;0.379316
98:52:b1:11:39:08;08:d4:2b:01:95:46;0.379316
98:52:b1:11:39:08;7c:c5:37:09:84:03;0.379316
98:52:b1:11:39:08;70:56:81:08:82:20;0.379316
98:52:b1:11:39:08;24:ab:81:04:00:67;0.379316
98:52:b1:11:39:08;04:1e:64:01:53:04;0.379316
98:52:b1:11:39:08;88:c6:63:10:46:86;0.379316
98:52:b1:11:39:08;70:73:cb:08:86:73;0.379316
98:52:b1:11:39:08;28:e0:2c:04:34:97;0.379316
98:52:b1:11:39:08;b8:c7:5d:12:68:56;0.379316
98:52:b1:11:39:08;64:b9:e8:08:12:38;0.379316
c8:bc:c8:13:40:81;18:9e:fc:03:30:49;0.634400
c8:bc:c8:13:40:81;18:20:32:03:02:27;0.318935
c8:bc:c8:13:40:81;28:e0:2c:04:32:70;0.318935
c8:bc:c8:13:40:81;74:e2:f5:09:16:57;1.254906
60:21:c0:07:67:05;44:a4:2d:05:88:22;0.368996
60:21:c0:07:67:05;8c:fa:ba:10:75:70;0.368996
60:21:c0:07:67:05;d8:9e:3f:14:09:75;0.395584
60:21:c0:07:67:05;e8:06:88:15:15:91;0.395584
60:21:c0:07:67:05;ec:85:2f:15:41:12;0.368996
60:21:c0:07:67:05;b8:ff:61:12:74:69;0.395584
60:21:c0:07:67:05;50:ea:d6:06:55:16;0.395584
60:21:c0:07:67:05;c8:bc:c8:13:41:66;0.395584
60:21:c0:07:67:05;e8:06:88:15:16:13;0.395584
b8:c7:5d:12:68:68;28:37:37:04:12:00;0.436094
b8:c7:5d:12:68:68;60:21:c0:07:64:97;0.371281
b8:c7:5d:12:68:68;70:56:81:08:83:79;0.379316
b8:c7:5d:12:68:68;14:7d:c5:02:68:43;0.388219
b8:c7:5d:12:68:68;54:26:96:06:74:12;0.411276
b8:c7:5d:12:68:68;e4:ce:8f:15:03:64;0.511957
b8:c7:5d:12:68:68;70:56:81:08:82:97;0.556706
b8:c7:5d:12:68:68;00:c6:10:01:31:49;0.379316
b8:c7:5d:12:68:68;f0:b4:79:15:55:48;0.394167
b8:c7:5d:12:68:68;58:b0:35:07:05:88;0.525940
b8:c7:5d:12:68:68;44:a4:2d:05:88:22;0.394167
b8:c7:5d:12:68:68;dc:2b:61:14:49:73;0.371281
b8:c7:5d:12:68:68;7c:61:93:09:75:11;0.410082
b8:c7:5d:12:68:68;7c:11:be:09:63:87;0.379316
b8:c7:5d:12:68:68;e4:ce:8f:15:09:15;0.511957
b8:c7:5d:12:68:68;88:c6:63:10:48:21;0.385264
b8:c7:5d:12:68:68;28:e0:2c:04:36:53;0.371281
b8:c7:5d:12:68:68;60:33:4b:07:72:45;0.574682
b8:c7:5d:12:68:68;d8:9e:3f:14:30:11;0.362208
b8:c7:5d:12:68:68;24:ab:81:04:01:18;0.411276
b8:c7:5d:12:68:68;3c:e0:72:05:43:52;0.388219
b8:c7:5d:12:68:68;10:bf:48:02:43:96;0.442041
b8:c7:5d:12:68:68;70:73:cb:08:88:82;0.582717
b8:c7:5d:12:68:68;70:56:81:08:81:89;0.371281
b8:c7:5d:12:68:68;28:37:37:04:09:35;0.371281
b8:c7:5d:12:68:68;90:84:0d:10:93:27;0.379934
b8:c7:5d:12:68:68;d8:9e:3f:14:09:86;0.379316
b8:c7:5d:12:68:68;00:21:6b:00:45:71;0.411276
b8:c7:5d:12:68:68;10:9a:dd:02:43:52;0.442041
b8:c7:5d:12:68:68;28:cf:da:04:21:41;0.653251
b8:c7:5d:12:68:68;70:73:cb:08:89:57;0.379316
b8:c7:5d:12:68:68;18:e7:f4:03:45:41;0.517905
b8:c7:5d:12:68:68;e8:06:88:15:15:91;0.534843
b8:c7:5d:12:68:68;f0:b4:79:15:53:89;0.525940
b8:c7:5d:12:68:68;28:37:37:04:09:26;0.806966
b8:c7:5d:12:68:68;70:73:cb:08:88:79;0.410082
b8:c7:5d:12:68:68;70:56:81:08:81:99;0.511957
b8:c7:5d:12:68:68;00:c6:10:01:32:58;0.517905
b8:c7:5d:12:68:68;20:64:32:03:89:33;0.668999
b8:c7:5d:12:68:68;04:54:53:01:65:31;0.385264
b8:c7:5d:12:68:68;d4:9a:20:13:94:84;0.815005
b8:c7:5d:12:68:68;c4:2c:03:13:22:29;0.295417
b8:c7:5d:12:68:68;04:0c:ce:01:46:35;0.830023
b8:c7:5d:12:68:68;58:1f:aa:06:89:86;0.697382
b8:c7:5d:12:68:68;08:d4:2b:01:95:46;0.525940
b8:c7:5d:12:68:68;b8:c7:5d:12:69:85;0.371281
b8:c7:5d:12:68:68;14:8f:c6:02:77:78;0.436094
b8:c7:5d:12:68:68;7c:c5:37:09:84:03;1.379316
b8:c7:5d:12:68:68;d8:a2:5e:14:32:75;0.385264
b8:c7:5d:12:68:68;20:54:76:03:81:24;0.517905
b8:c7:5d:12:68:68;70:56:81:08:82:20;0.830023
b8:c7:5d:12:68:68;14:5a:05:02:59:47;0.517905
b8:c7:5d:12:68:68;24:ab:81:04:00:67;0.379316
b8:c7:5d:12:68:68;04:1e:64:01:53:04;0.511957
b8:c7:5d:12:68:68;50:ea:d6:06:55:16;0.418985
b8:c7:5d:12:68:68;88:c6:63:10:46:86;0.379316
b8:c7:5d:12:68:68;c4:2c:03:13:23:78;0.371281
b8:c7:5d:12:68:68;7c:11:be:09:65:36;0.436094
b8:c7:5d:12:68:68;70:56:81:08:80:04;0.542723
b8:c7:5d:12:68:68;7c:c5:37:09:81:09;0.568734
b8:c7:5d:12:68:68;70:73:cb:08:86:73;0.658581
b8:c7:5d:12:68:68;5c:59:48:07:40:95;0.411276
b8:c7:5d:12:68:68;24:ab:81:04:07:43;0.295417
b8:c7:5d:12:68:68;84:85:06:10:21:73;0.371281
b8:c7:5d:12:68:68;e8:06:88:15:16:13;0.394167
b8:c7:5d:12:68:68;28:e0:2c:04:34:97;0.379316
b8:c7:5d:12:68:68;58:1f:aa:06:94:65;0.442041
b8:c7:5d:12:68:68;b8:c7:5d:12:68:56;0.683399
b8:c7:5d:12:68:68;a0:0b:ba:11:80:97;0.442041
b8:c7:5d:12:68:68;64:b9:e8:08:12:38;0.379316
f0:b4:79:15:55:90;28:37:37:04:12:00;0.381838
f0:b4:79:15:55:90;e4:ce:8f:15:03:64;0.375049
f0:b4:79:15:55:90;70:56:81:08:82:97;0.375049
f0:b4:79:15:55:90;00:c6:10:01:31:49;0.360094
f0:b4:79:15:55:90;f8:1e:df:16:09:56;0.530801
f0:b4:79:15:55:90;44:a4:2d:05:88:22;0.381838
f0:b4:79:15:55:90;dc:2b:61:14:49:73;0.496502
f0:b4:79:15:55:90;cc:08:e0:13:49:15;0.294683
f0:b4:79:15:55:90;d8:30:62:13:99:17;0.381838
f0:b4:79:15:55:90;88:c6:63:10:48:21;0.357435
f0:b4:79:15:55:90;f8:1e:df:16:11:55;0.294683
f0:b4:79:15:55:90;3c:e0:72:05:42:02;0.500633
f0:b4:79:15:55:90;b8:ff:61:12:75:26;0.294683
f0:b4:79:15:55:90;7c:c3:a1:09:78:65;0.381838
f0:b4:79:15:55:90;54:26:96:06:76:52;0.294683
f0:b4:79:15:55:90;24:ab:81:04:01:18;0.317402
f0:b4:79:15:55:90;d8:9e:3f:14:09:37;0.381838
f0:b4:79:15:55:90;7c:fa:df:09:95:29;0.379180
f0:b4:79:15:55:90;40:a6:d9:05:60:39;0.364224
f0:b4:79:15:55:90;70:56:81:08:81:89;0.375049
f0:b4:79:15:55:90;d8:9e:3f:14:09:86;0.360094
f0:b4:79:15:55:90;20:02:af:03:68:24;0.439441
f0:b4:79:15:55:90;28:cf:da:04:21:41;0.294683
f0:b4:79:15:55:90;6c:f3:73:08:75:51;0.549887
f0:b4:79:15:55:90;18:e7:f4:03:45:41;0.530801
f0:b4:79:15:55:90;f0:b4:79:15:53:89;0.360094
f0:b4:79:15:55:90;70:73:cb:08:88:79;0.360094
f0:b4:79:15:55:90;70:56:81:08:81:99;0.409348
f0:b4:79:15:55:90;b8:c7:5d:12:70:06;0.381838
f0:b4:79:15:55:90;d4:9a:20:13:94:84;0.375049
f0:b4:79:15:55:90;c4:2c:03:13:22:29;0.431092
f0:b4:79:15:55:90;18:20:32:03:05:25;0.317402
f0:b4:79:15:55:90;04:0c:ce:01:46:35;0.545756
f0:b4:79:15:55:90;70:73:cb:08:88:77;0.381838
f0:b4:79:15:55:90;28:e0:2c:04:32:70;0.294683
f0:b4:79:15:55:90;58:1f:aa:06:89:86;0.375049
f0:b4:79:15:55:90;7c:c5:37:09:84:03;0.545756
f0:b4:79:15:55:90;d8:a2:5e:14:32:75;0.409348
f0:b4:79:15:55:90;d8:a2:5e:14:32:73;0.453811
f0:b4:79:15:55:90;70:56:81:08:82:20;0.375049
f0:b4:79:15:55:90;24:ab:81:04:00:67;0.360094
f0:b4:79:15:55:90;7c:c5:37:09:84:43;0.431092
f0:b4:79:15:55:90;88:c6:63:10:46:86;0.375049
f0:b4:79:15:55:90;7c:c5:37:09:81:09;0.416136
f0:b4:79:15:55:90;5c:59:48:07:41:16;0.381838
f0:b4:79:15:55:90;70:73:cb:08:86:73;0.360094
f0:b4:79:15:55:90;c8:bc:c8:13:41:66;0.294683
f0:b4:79:15:55:90;28:e0:2c:04:34:97;0.360094
f0:b4:79:15:55:90;b8:c7:5d:12:68:56;0.375049
f0:b4:79:15:55:90;64:b9:e8:08:12:38;0.667209
40:30:04:05:48:19;6c:3e:6d:08:56:66;0.368097
40:30:04:05:48:19;70:73:cb:08:88:79;0.368097
40:30:04:05:48:19;e4:ce:8f:15:03:61;0.368097
40:30:04:05:48:19;e4:ce:8f:15:08:84;0.368097
18:20:32:02:96:33;28:e0:2c:04:32:70;0.351646
28:37:37:04:12:00;54:26:96:06:74:12;0.525973
28:37:37:04:12:00;e4:ce:8f:15:03:64;0.754917
28:37:37:04:12:00;70:56:81:08:82:97;0.558012
28:37:37:04:12:00;34:51:c9:04:71:76;0.389564
28:37:37:04:12:00;00:c6:10:01:31:49;0.386105
28:37:37:04:12:00;04:46:65:01:58:27;0.370695
28:37:37:04:12:00;f0:4f:7c:15:50:02;0.390722
28:37:37:04:12:00;bc:20:a4:12:78:64;0.389564
28:37:37:04:12:00;f8:1e:df:16:09:56;0.515634
28:37:37:04:12:00;9c:20:7b:11:71:01;0.370695
28:37:37:04:12:00;58:b0:35:07:05:88;0.534857
28:37:37:04:12:00;44:a4:2d:05:88:22;0.860606
28:37:37:04:12:00;dc:2b:61:14:49:73;0.381838
28:37:37:04:12:00;7c:61:93:09:75:11;0.295417
28:37:37:04:12:00;cc:08:e0:13:49:15;0.394181
28:37:37:04:12:00;e4:ce:8f:15:09:15;0.409945
28:37:37:04:12:00;e0:f8:47:14:81:59;0.389564
28:37:37:04:12:00;d8:30:62:13:99:17;0.648700
28:37:37:04:12:00;8c:7b:9d:10:65:08;0.394535
28:37:37:04:12:00;88:c6:63:10:48:21;0.351646
28:37:37:04:12:00;f8:1e:df:16:11:55;0.661043
28:37:37:04:12:00;3c:e0:72:05:42:02;0.758202
28:37:37:04:12:00;5c:0a:5b:07:20:14;0.375428
28:37:37:04:12:00;60:33:4b:07:72:45;0.703305
28:37:37:04:12:00;d8:9e:3f:14:30:11;0.394535
28:37:37:04:12:00;7c:c3:a1:09:78:65;0.522514
28:37:37:04:12:00;98:03:d8:11:18:27;0.389564
28:37:37:04:12:00;d8:9e:3f:14:09:37;0.522514
28:37:37:04:12:00;3c:e0:72:05:43:52;0.546354
28:37:37:04:12:00;7c:fa:df:09:95:29;0.386570
28:37:37:04:12:00;bc:67:78:12:97:77;0.386105
28:37:37:04:12:00;10:bf:48:02:43:96;0.295417
28:37:37:04:12:00;70:73:cb:08:88:82;1.079204
28:37:37:04:12:00;d8:9e:3f:14:09:75;0.374154
28:37:37:04:12:00;6c:3e:6d:08:56:66;0.375428
28:37:37:04:12:00;28:37:37:04:09:35;0.375428
28:37:37:04:12:00;18:9e:fc:03:35:22;0.495608
28:37:37:04:12:00;d8:9e:3f:14:09:86;0.636284
28:37:37:04:12:00;84:29:99:10:06:24;0.351646
28:37:37:04:12:00;14:7d:c5:02:69:55;0.472667
28:37:37:04:12:00;1c:62:b8:03:49:55;0.375428
28:37:37:04:12:00;20:02:af:03:68:24;0.389564
28:37:37:04:12:00;10:9a:dd:02:43:52;0.671782
28:37:37:04:12:00;28:cf:da:04:21:41;0.661043
28:37:37:04:12:00;6c:f3:73:08:75:51;0.386570
28:37:37:04:12:00;70:73:cb:08:89:57;0.536131
28:37:37:04:12:00;18:e7:f4:03:45:41;0.371615
28:37:37:04:12:00;e8:06:88:15:15:91;0.401061
28:37:37:04:12:00;e8:06:88:15:15:90;0.389564
28:37:37:04:12:00;f0:b4:79:15:53:89;0.511017
28:37:37:04:12:00;28:37:37:04:09:26;0.788676
28:37:37:04:12:00;70:73:cb:08:88:79;0.542137
28:37:37:04:12:00;a0:f4:50:11:89:11;0.390838
28:37:37:04:12:00;20:54:76:03:81:40;0.375074
28:37:37:04:12:00;e8:99:c4:15:27:41;0.375428
28:37:37:04:12:00;b8:c7:5d:12:70:06;0.522514
28:37:37:04:12:00;d4:9a:20:13:94:84;0.672540
28:37:37:04:12:00;c4:2c:03:13:22:29;0.431826
28:37:37:04:12:00;bc:67:78:12:98:75;0.401061
28:37:37:04:12:00;40:a6:d9:05:63:08;0.375074
28:37:37:04:12:00;18:20:32:03:05:25;0.389564
28:37:37:04:12:00;04:0c:ce:01:46:35;0.572502
28:37:37:04:12:00;10:9a:dd:02:40:02;0.389564
28:37:37:04:12:00;70:73:cb:08:88:77;0.381838
28:37:37:04:12:00;b8:ff:61:12:74:69;0.375428
28:37:37:04:12:00;58:1f:aa:06:89:86;0.823954
28:37:37:04:12:00;98:0c:82:11:32:23;0.389918
28:37:37:04:12:00;08:d4:2b:01:95:46;0.618508
28:37:37:04:12:00;14:8f:c6:02:77:78;0.561006
28:37:37:04:12:00;24:ab:81:04:07:26;0.390722
28:37:37:04:12:00;98:0c:82:11:26:90;0.389918
28:37:37:04:12:00;3c:e0:72:05:40:42;0.375074
28:37:37:04:12:00;7c:c5:37:09:84:03;0.628731
28:37:37:04:12:00;d8:a2:5e:14:32:75;0.331990
28:37:37:04:12:00;70:56:81:08:82:20;1.050351
28:37:37:04:12:00;14:5a:05:02:59:47;0.375428
28:37:37:04:12:00;5c:59:48:07:38:43;0.385651
28:37:37:04:12:00;24:ab:81:04:00:67;0.656310
28:37:37:04:12:00;7c:c5:37:09:84:43;0.401061
28:37:37:04:12:00;04:1e:64:01:53:04;0.516104
28:37:37:04:12:00;50:ea:d6:06:55:16;0.421603
28:37:37:04:12:00;88:c6:63:10:46:86;0.754917
28:37:37:04:12:00;7c:11:be:09:65:36;0.687546
28:37:37:04:12:00;70:56:81:08:80:04;0.295417
28:37:37:04:12:00;7c:c5:37:09:81:09;0.808645
28:37:37:04:12:00;5c:59:48:07:41:16;0.589852
28:37:37:04:12:00;18:9e:fc:03:33:56;0.389564
28:37:37:04:12:00;70:73:cb:08:86:73;0.512291
28:37:37:04:12:00;5c:59:48:07:40:95;0.512291
28:37:37:04:12:00;24:ab:81:04:07:43;0.295417
28:37:37:04:12:00;e8:06:88:15:16:13;0.385297
28:37:37:04:12:00;28:e0:2c:04:34:97;0.512291
28:37:37:04:12:00;58:1f:aa:06:94:65;0.431826
28:37:37:04:12:00;b8:c7:5d:12:68:56;0.823954
28:37:37:04:12:00;a0:0b:ba:11:80:97;0.692163
28:37:37:04:12:00;64:b9:e8:08:12:38;0.647780
24:ab:81:04:01:80;54:26:96:06:74:12;0.395512
24:ab:81:04:01:80;70:56:81:08:82:97;0.425808
24:ab:81:04:01:80;f0:b4:79:15:55:48;0.395512
24:ab:81:04:01:80;f8:1e:df:16:09:56;0.404097
24:ab:81:04:01:80;58:b0:35:07:05:88;0.395512
24:ab:81:04:01:80;44:a4:2d:05:88:22;0.537914
24:ab:81:04:01:80;e0:f8:47:14:81:59;0.391290
24:ab:81:04:01:80;f0:b4:79:15:55:72;0.425808
24:ab:81:04:01:80;98:03:d8:11:18:27;0.391290
24:ab:81:04:01:80;70:73:cb:08:88:82;0.395512
24:ab:81:04:01:80;10:9a:dd:02:43:52;0.395512
24:ab:81:04:01:80;e8:06:88:15:15:91;0.413002
24:ab:81:04:01:80;f0:b4:79:15:53:89;0.395512
24:ab:81:04:01:80;00:c6:10:01:32:58;0.395512
24:ab:81:04:01:80;04:54:53:01:65:31;0.425808
24:ab:81:04:01:80;10:9a:dd:02:40:02;0.391290
24:ab:81:04:01:80;18:20:32:03:00:83;0.413002
24:ab:81:04:01:80;58:1f:aa:06:89:86;0.425808
24:ab:81:04:01:80;3c:43:8e:05:21:55;0.623976
24:ab:81:04:01:80;70:56:81:08:82:20;0.550720
24:ab:81:04:01:80;c4:2c:03:13:23:78;0.404097
24:ab:81:04:01:80;d8:9e:3f:14:27:36;0.391290
24:ab:81:04:01:80;3c:d0:f8:05:30:33;0.391290
24:ab:81:04:01:80;e8:06:88:15:16:13;0.395512
24:ab:81:04:01:80;58:1f:aa:06:94:65;0.413002
10:40:f3:02:32:90;18:9e:fc:03:30:49;0.428924
10:40:f3:02:32:90;b8:c7:5d:12:68:56;0.428924
60:21:c0:07:64:97;e4:ce:8f:15:03:64;0.371281
60:21:c0:07:64:97;f8:1e:df:16:09:56;0.383933
60:21:c0:07:64:97;58:b0:35:07:05:88;0.383933
60:21:c0:07:64:97;dc:2b:61:14:49:73;0.371281
60:21:c0:07:64:97;d0:b3:3f:13:82:42;0.331990
60:21:c0:07:64:97;e4:ce:8f:15:09:15;0.724589
60:21:c0:07:64:97;d8:30:62:13:99:17;0.331990
60:21:c0:07:64:97;28:e0:2c:04:36:53;0.371281
60:21:c0:07:64:97;60:33:4b:07:72:45;0.609924
60:21:c0:07:64:97;d8:9e:3f:14:30:11;0.383933
60:21:c0:07:64:97;28:e7:cf:04:39:20;0.425006
60:21:c0:07:64:97;70:56:81:08:81:89;0.371281
60:21:c0:07:64:97;28:37:37:04:09:35;0.371281
60:21:c0:07:64:97;90:84:0d:10:93:27;0.331990
60:21:c0:07:64:97;f0:dc:e2:15:84:32;0.383933
60:21:c0:07:64:97;28:cf:da:04:21:41;0.401910
60:21:c0:07:64:97;70:73:cb:08:89:57;0.591948
60:21:c0:07:64:97;18:e7:f4:03:45:41;0.579296
60:21:c0:07:64:97;28:37:37:04:09:26;0.371281
60:21:c0:07:64:97;70:56:81:08:81:99;0.871281
60:21:c0:07:64:97;00:c6:10:01:32:58;0.371281
60:21:c0:07:64:97;04:54:53:01:65:31;0.383933
60:21:c0:07:64:97;d4:9a:20:13:94:84;0.591948
60:21:c0:07:64:97;04:0c:ce:01:46:35;0.871281
60:21:c0:07:64:97;b8:c7:5d:12:69:85;0.371281
60:21:c0:07:64:97;18:20:32:02:98:65;0.331990
60:21:c0:07:64:97;20:54:76:03:81:24;0.371281
60:21:c0:07:64:97;70:56:81:08:82:20;0.371281
60:21:c0:07:64:97;14:5a:05:02:59:47;0.579296
60:21:c0:07:64:97;5c:59:48:07:38:43;0.331990
60:21:c0:07:64:97;24:ab:81:04:00:67;0.383933
60:21:c0:07:64:97;04:1e:64:01:53:04;0.371281
60:21:c0:07:64:97;88:c6:63:10:46:86;0.446655
60:21:c0:07:64:97;c4:2c:03:13:23:78;0.371281
60:21:c0:07:64:97;70:56:81:08:80:04;0.371281
60:21:c0:07:64:97;70:73:cb:08:86:73;0.371281
60:21:c0:07:64:97;84:85:06:10:21:73;0.371281
60:21:c0:07:64:97;b8:c7:5d:12:68:56;0.579296
60:21:c0:07:64:97;64:b9:e8:08:12:38;0.869570
70:56:81:08:83:79;e4:ce:8f:15:03:64;0.379316
70:56:81:08:83:79;70:56:81:08:82:97;0.422929
70:56:81:08:83:79;00:c6:10:01:31:49;0.379316
70:56:81:08:83:79;58:b0:35:07:05:88;0.379316
70:56:81:08:83:79;7c:11:be:09:63:87;0.379316
70:56:81:08:83:79;e4:ce:8f:15:09:15;0.379316
70:56:81:08:83:79;60:33:4b:07:72:45;0.308265
70:56:81:08:83:79;d8:9e:3f:14:30:11;0.422929
70:56:81:08:83:79;d8:9e:3f:14:09:37;0.391513
70:56:81:08:83:79;d8:9e:3f:14:11:93;0.308265
70:56:81:08:83:79;70:73:cb:08:88:82;0.448941
